keyword,nama,Latitude,Longitude,kategori_usaha,rating,jumlah_ulasan,alamat,telepon,website,kecamatan,foto_url,skor_potensi,kategori_grup,label_kelayakan,popularitas,kepadatan
cafe Tallo Makassar,148 Coffee Shop,-5.1258269,119.4318026,Kedai Kopi,4.5,538,"Jl. Pongtiku No.148, La'latang, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90213",0852-9944-8855,instagram.com,Tallo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLHgDGXS3Ca0oEkq2FLCIMbNcsZCZCUsO_PwpkUWlnubDSUWTcN5gd4wTKJ16WI2-etLdG3oQ4Yf-dDgU6NksuCelspj8woY2Eck7etITp9erJyiSlrYcnZ0h6gIIxYLacg3JB=w800-h600-k-no,81,Cafe & Modern Coffee,Sangat Layak,Sangat Populer,5200
percetakan Biringkanaya Makassar,16 Print (Printing & Percetakan),-5.0980569,119.5340724,Layanan cetak digital,4.9,99,"Jalan Goa Ria, Jl. Laikang Kel No.50, Sudiang Raya, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242",0853-3337-8705,,Biringkanaya,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvGEEIfXYBxZX2NxPlPJuxaeNUa1cbJ_oLIHd1O3EGdznwTerDWr0Gec7z6_l_XJBjUJPjUENS3PFHDPoSTz82nBE_lGY7ChMa_TpMDgpVWE9rrw7fUuczMI73bai7_V5wS_4=w800-h600-k-no,62,Percetakan & Fotocopy,Layak,Cukup Dikenal,2800
rumah makan padang Kepulauan Sangkarrang Makassar,17 Propinsi Rumah Makan,-5.162007,119.4170555,Restoran,3.6,72,"JL. Datumuseng, No. 34, Datumuseng, Makassar, Maloku, Ujung Pandang, Makassar City, South Sulawesi 90115",(0411) 328066,,Kepulauan Sangkarrang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbyyGBfDku1aN7kIEEH-RQJOqEHNMZW9zniVsS9Nu0WJGzFfDYv2PUEBzrSxtNmWq0vjy1477D-SjXmGAf9cWeVIuX6Ao4NJQELdnkDYZ27LRTWg5W3qEb12SNERKQxHUd2EM2QA1GZ_u_=w800-h600-k-no,55,Restoran/Rumah Makan,Cukup Layak,Cukup Dikenal,450
korean food Wajo Makassar,1988 Pocha Makassar | CPI Sunset Boulevard,-5.1495049,119.3943323,Restoran Korea,4.5,221,"Makassar, Kota Makassar, Sulawesi Selatan",,,Wajo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnQZHhWbkgfeHuW94Tt4NJUPmykBjTr75NRovdzsFyaZQJmh7Wl6zHpR8ChXMeRjhUeKmUv4VYi5CWIvFXabFOt_s3h5cX21gdBIG8OnSStlHrxifgtvtNLZ1bkABSXHEaX6mxfMf0EQo=w800-h600-k-no,69,Lain-lain / Belum Terkategori,Layak,Populer,7200
gym fitness Mamajang Makassar,1GROUND,-5.1528884,119.4393415,Tempat Fitness,4.9,90,"Jl. A. Pangeran G7 Lrg. A. P. Pettarani 4 No.17, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0811-413-180,,Mamajang,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGppqXGsoVxzrQQqS7PFl6zQzi9kk86CQnV0qbVCpTIOB1D94MYwxlwK_1uZcqguHz9LCzJvEdMYRDESQAu7dVg2QSH6kzJBRdjUO0jCL-FOS04H8B4ch3cPwE49cbYiO5gqYO=w800-h600-k-no,69,Lain-lain / Belum Terkategori,Layak,Cukup Dikenal,7800
gym fitness Makassar Makassar,1GROUND,-5.1528884,119.4393415,Tempat Fitness,4.7,138,"Jl. Toddopuli 5 No.23, Borong, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233",0851-8686-3120,sites.google.com,Makassar,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgN_3-xU2NDC2cX1LAnNx-Jv0VdArZaNzpCVm_MyFD9UbLUzjq3kgk7zSyFQK5umUsRnDve5anQBZZH8kiuQa8NoFERaRB-8XlOPXfV3bPTcScLTYQvhiX0AhCuAyZXnqJVMJX=w800-h600-k-no,71,Lain-lain / Belum Terkategori,Layak,Populer,8282
toko komputer Mariso Makassar,1st Venus Computer,-5.1499784,119.4142641,Toko Komputer,4.7,151,"Jl. Merpati No.2aa, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90134",0882-4210-1610,shopee.co.id,Mariso,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkr-qM4tRtEtogFpVsOdUKFWZfwEDjMTIDbi8zcaRHbJeuoeh8v0qMkdOZtYNIWvGFn0sUgiEGXsqM7wfCEbsvi5BK6l-gNz1YdflJ8aCftcGSwaDWiHNf3LxSnhYuaixuztrwMhiMknPc=w800-h600-k-no,72,Lain-lain / Belum Terkategori,Layak,Populer,8800
kost Makassar Makassar,27 KOST EKSLUSIF,-5.15398399999999,119.4431895,Rumah Pondokan,4.5,56,"Lrg. II No.3 No 2, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",0823-4444-5481,,Makassar,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSq6wXGdEGxNq1ziBwjl_OtZSqt_mujWJ5rRDvSY3e6Y7Ub46wdvgs6zaRmLH1shMddatjSJxBKn4DSuWENoe9FSYzFTGnVv5AQdaeNAZfrryGtvnkB_TSEE5b5f7mn3aZeh4tpA=w800-h600-k-no,66,Lain-lain / Belum Terkategori,Layak,Cukup Dikenal,8282
klinik gigi Tamalanrea Makassar,3A Dental Care drg Rakhmat Putra G.A,-5.141110400000001,119.4776674,Klinik Gigi,5,135,"Ko. Unhas Tamalanrea No.NK/2, RT.001/RW.01, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0852-9919-2233,,Tamalanrea,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIuVeNIKsHC4zMc32Y4-SrEtYovtaSNsVk3t2KN1kdjwBwO8CZZ2fq4wnMOjTpEKe_CwEojjl9nPa3WXFM-70Tonm0U-nVzx0KaNjV9kK-X-EcrBebV2yTlWshOWqS9oCddPyMMQ=w800-h600-k-no,63,Lain-lain / Belum Terkategori,Layak,Populer,3200
klinik gigi Tamalanrea Makassar,3D Dental Care BTP,-5.1335654,119.5045964,Klinik Gigi,5,20,"Jl. Bumi Tamalanrea Permai No.13 No.Blok M, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",0887-3409-191,,Tamalanrea,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiYcoGDbWQYnVC5nCTSbdTYkrTCoCDUT81AUbZHoBoMMMdA4ef25b8k1_3ztUWHtyOGqb6dEaRvc2175qVmFXbO33qE1nmrp9IRW9GV_4w_vklPkRxu254l-A1WJaTDRY5FFw73NFrn5A0=w800-h600-k-no,56,Lain-lain / Belum Terkategori,Cukup Layak,Cukup Dikenal,3200
